DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006701,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006702,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006703,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006704,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006705,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006706,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006707,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006708,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006709,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006710,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006711,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006712,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006713,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006714,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006715,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006716,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006717,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006718,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006719,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006720,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006721,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006722,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006723,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006724,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006725,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006726,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006727,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006728,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006729,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006730,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006731,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006732,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006733,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006734,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006735,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006736,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006737,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006738,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006739,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006740,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006741,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006742,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006743,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006744,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006745,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006746,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006747,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006748,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006749,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006750,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006751,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006752,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006753,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006754,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006755,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006756,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006757,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006758,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006759,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006760,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006761,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006762,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006763,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006764,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006765,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006766,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006767,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006768,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006769,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006770,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006771,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006772,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006773,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006774,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006775,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006776,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006777,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006778,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006779,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006780,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006781,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006782,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006783,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006784,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006785,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006786,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006787,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
S01006788,PN0000002,Aberdeen North,S12000033,S37000001,S08000020,S92000003
