"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01006513,"Cults, Bieldside and Milltimber West - 01",Aberdeen City,961,7,14,10,7,12,12,13,13,12,10,19,11,12,17,11,5,5,5,3,10,0,3,6,6,4,8,6,2,7,4,6,11,10,13,12,9,5,11,14,12,16,22,14,16,11,10,11,10,11,3,6,22,7,12,7,21,16,16,7,9,10,13,8,10,13,17,9,7,17,9,7,8,10,11,4,8,14,13,7,15,6,17,7,14,12,11,4,13,7,4,52,,
S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,"1,252",9,7,5,13,18,11,11,10,18,18,14,17,21,18,6,21,21,32,15,21,13,20,9,21,17,11,21,17,16,14,13,12,11,19,15,10,20,21,11,24,19,11,15,15,16,14,14,18,16,19,17,24,22,18,13,21,18,12,20,13,14,13,12,14,13,11,14,12,7,4,12,2,6,11,12,5,8,15,12,9,4,10,7,4,8,2,4,3,5,5,38,,
S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,831,9,9,8,11,4,6,10,7,16,12,7,17,13,13,10,17,11,8,12,5,5,5,10,5,7,6,3,7,10,2,13,9,13,11,11,5,8,7,11,19,13,11,12,14,6,5,8,19,11,23,14,18,14,14,23,15,7,17,7,18,13,11,7,10,10,9,15,5,9,10,17,7,4,5,11,2,7,7,1,5,4,6,3,2,1,2,1,0,2,0,4,,
S01006516,"Cults, Bieldside and Milltimber West - 04",Aberdeen City,658,2,3,1,4,4,5,4,11,7,9,6,8,7,9,8,12,7,6,14,27,10,8,10,15,9,12,6,20,5,10,11,8,8,5,4,6,7,8,11,5,4,4,13,7,8,9,6,13,7,12,10,4,10,12,10,15,11,5,3,6,2,10,8,9,4,4,8,10,6,3,8,3,8,10,5,3,6,6,4,4,3,4,9,5,3,4,1,0,1,2,4,,
S01006517,"Cults, Bieldside and Milltimber West - 05",Aberdeen City,"1,445",18,24,21,15,28,22,19,5,22,18,12,24,20,21,20,16,23,16,4,7,8,8,15,9,15,9,18,26,23,35,26,18,16,17,33,19,15,27,18,22,26,16,32,17,22,22,16,19,18,16,4,22,20,17,11,17,24,33,21,17,24,13,16,19,13,9,11,16,19,17,15,14,15,11,15,8,9,14,11,6,4,2,3,5,2,4,2,1,4,2,19,,
S01006518,"Cults, Bieldside and Milltimber East - 01",Aberdeen City,691,5,5,5,4,7,9,6,13,4,11,7,14,10,10,7,19,10,16,9,5,3,7,2,3,1,1,6,6,0,8,3,5,3,2,6,6,6,7,14,18,7,7,9,5,9,6,5,5,13,8,11,11,5,13,9,11,9,18,16,13,4,14,14,8,11,6,9,11,14,16,8,8,3,9,9,6,12,4,10,9,6,4,5,2,3,1,4,1,0,1,6,,
S01006519,"Cults, Bieldside and Milltimber East - 02",Aberdeen City,935,2,5,2,4,7,9,7,15,19,10,16,22,19,15,11,24,19,10,10,8,14,7,2,11,16,15,8,6,3,5,11,4,7,0,4,13,6,6,5,9,11,11,15,15,13,17,23,13,10,13,15,13,16,25,17,15,12,14,18,14,10,9,14,7,20,18,10,9,9,10,9,7,9,14,7,4,12,9,13,2,7,3,4,2,3,0,3,2,1,1,21,,
S01006520,"Cults, Bieldside and Milltimber East - 03",Aberdeen City,843,5,3,10,4,11,14,13,10,8,12,21,17,19,28,18,26,16,14,9,10,6,6,11,5,8,6,4,3,8,4,3,11,3,4,6,7,8,4,9,13,13,11,17,6,20,22,16,30,12,13,20,14,23,23,13,12,19,12,11,20,16,12,8,4,6,4,8,6,4,2,2,6,3,9,3,5,3,5,2,5,0,0,0,1,1,0,1,1,0,1,1,,
S01006521,"Cults, Bieldside and Milltimber East - 04",Aberdeen City,802,3,4,5,4,9,9,10,11,16,13,21,8,9,14,15,13,13,24,4,6,0,3,6,6,6,3,9,6,12,7,11,5,14,6,7,4,10,5,12,20,7,15,8,11,9,15,16,19,14,4,13,20,8,16,18,18,10,19,15,16,9,11,11,4,7,13,13,7,9,3,12,12,7,6,6,5,2,4,3,2,6,3,4,1,3,1,0,0,1,0,3,,
S01006522,"Cults, Bieldside and Milltimber East - 05",Aberdeen City,689,6,8,6,9,17,10,12,12,13,13,11,11,14,4,16,7,10,4,8,5,1,1,3,5,7,14,1,6,11,5,5,5,2,6,8,8,10,11,5,9,6,13,14,7,17,15,6,8,19,10,6,6,10,14,9,9,10,15,6,9,10,10,9,11,9,7,6,9,10,5,6,9,5,4,4,1,6,5,3,3,3,2,5,4,2,1,3,1,2,1,5,,
