DataZone2011Code,DataZone2011Name,CouncilArea2019Name,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010590,Inverness Inshes - 01,Highland,917,5,7,8,11,7,4,13,6,17,13,17,14,22,32,24,15,22,18,15,9,8,12,3,5,5,8,12,3,3,7,6,8,7,9,5,10,10,9,7,12,14,14,9,16,11,18,16,26,12,16,17,23,14,22,18,17,10,10,16,12,15,17,7,6,12,9,7,13,5,9,7,7,12,5,2,7,4,5,6,0,3,4,1,1,4,1,0,4,1,1,3
S01010591,Inverness Inshes - 02,Highland,1381,29,28,21,17,17,32,20,27,21,20,28,22,31,24,21,26,15,12,12,8,8,12,15,13,11,19,18,29,28,23,23,16,24,26,24,28,37,40,43,26,26,32,36,28,23,29,17,24,22,16,15,15,15,16,10,17,11,13,8,8,6,10,10,6,6,6,3,5,8,4,2,4,2,4,6,1,2,2,2,1,3,0,3,2,1,1,0,2,1,1,2
S01010592,Inverness Inshes - 03,Highland,487,3,1,3,3,2,5,3,7,1,1,2,3,9,4,2,4,2,3,2,2,4,4,4,1,9,10,5,14,6,4,13,10,7,9,5,3,5,6,5,14,8,4,10,6,8,2,12,16,7,7,11,6,6,7,7,9,6,5,9,5,8,6,4,8,5,4,10,3,12,5,8,4,5,7,10,4,6,1,4,2,2,3,0,1,1,2,1,0,4,2,4
S01010593,Inverness Inshes - 04,Highland,1460,24,23,24,19,25,25,19,18,18,17,20,21,17,11,26,20,19,17,11,7,10,16,14,17,22,26,28,27,26,26,25,40,18,31,25,24,29,21,22,39,26,16,15,19,21,18,19,31,25,15,17,24,18,11,12,11,18,19,12,22,11,12,10,6,10,11,14,9,10,14,6,10,14,10,8,9,6,5,8,2,2,6,5,4,4,6,4,0,2,1,5
S01010594,Inverness Inshes - 05,Highland,738,8,10,13,6,9,8,3,11,11,6,10,12,14,6,5,11,12,10,5,10,10,4,8,12,12,7,18,11,9,15,14,16,19,15,8,18,11,10,14,17,21,10,0,8,15,11,7,14,17,13,14,10,6,8,10,17,13,3,7,4,8,6,0,5,2,1,9,5,5,3,3,3,5,3,6,1,4,7,2,3,1,0,0,1,5,8,0,5,0,0,1
S01010595,Inverness Inshes - 06,Highland,817,6,5,9,4,8,15,12,14,11,16,12,23,10,7,18,15,13,8,10,14,13,10,8,10,8,11,21,17,7,10,6,10,16,13,16,13,12,11,14,18,19,28,33,22,14,12,15,20,10,15,20,11,7,19,8,6,13,8,7,6,4,5,1,6,3,0,1,2,1,1,1,3,5,3,2,2,1,0,0,2,1,0,2,0,2,1,0,0,0,0,1
S01010596,Inverness Slackbuie - 01,Highland,1692,31,20,26,25,22,19,32,24,28,34,27,22,16,27,22,12,20,32,20,9,17,18,15,8,24,14,26,18,23,17,23,25,36,35,29,26,26,17,35,21,28,23,37,35,30,14,42,10,26,20,26,27,34,17,22,22,21,16,15,23,14,12,18,19,22,18,14,10,16,14,18,12,12,11,8,5,6,10,7,8,6,2,5,2,1,5,3,0,1,2,2
S01010597,Inverness Slackbuie - 02,Highland,969,20,17,15,12,16,12,10,13,13,13,15,19,15,17,14,14,12,7,4,7,6,12,10,8,7,8,17,10,26,21,12,13,20,24,34,12,25,26,30,28,15,15,19,17,10,16,15,20,19,16,10,21,16,8,19,12,10,6,12,9,8,5,7,4,4,1,3,1,4,1,3,5,3,2,3,3,1,2,3,0,1,0,3,1,0,0,1,0,0,0,1
S01010598,Inverness Slackbuie - 03,Highland,1033,8,7,8,11,12,17,21,10,19,23,31,20,26,18,22,13,7,13,13,7,4,3,16,15,17,14,5,7,16,18,20,11,25,17,19,5,11,18,25,22,22,30,19,27,21,13,20,16,27,23,15,16,15,12,22,8,6,9,5,9,14,9,1,4,4,2,4,7,4,3,5,3,5,3,7,4,3,4,4,1,0,1,0,1,1,1,2,1,2,1,3
S01010599,Inverness Lochardil and Holm Mains - 01,Highland,1325,19,27,30,25,23,18,28,15,15,17,22,18,20,17,24,18,24,14,15,13,8,9,12,8,16,22,21,11,28,19,23,14,34,35,23,26,18,23,15,17,19,20,17,17,25,16,22,12,22,21,19,13,26,24,8,10,14,13,8,9,10,10,8,12,11,12,12,8,5,12,5,17,10,6,7,8,9,7,7,3,8,1,0,1,3,2,1,2,2,1,6
S01010600,Inverness Lochardil and Holm Mains - 02,Highland,1072,6,8,11,8,9,12,7,8,12,6,7,6,12,6,7,17,6,8,6,7,8,9,11,19,6,9,14,10,7,15,13,16,16,9,8,11,5,7,8,9,5,10,10,9,10,10,4,13,15,8,13,8,9,12,16,19,18,23,17,19,18,11,11,14,21,24,10,19,24,19,9,27,11,17,14,14,12,7,13,10,11,9,26,11,6,7,12,9,13,7,29
