DataZone2011Code,DataZone2011Name,CouncilArea2019Name,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010553,Nairn Rural - 06,Highland,591,1,6,2,2,1,5,4,8,1,2,1,8,5,2,5,1,6,9,5,4,7,6,4,3,7,3,6,3,6,6,11,5,11,6,5,3,3,2,4,5,9,5,5,8,4,5,5,3,11,7,5,6,12,10,18,21,14,10,12,17,8,15,17,6,12,5,13,10,13,14,8,10,11,18,4,8,2,6,7,3,1,5,4,5,3,2,2,0,1,0,7
S01010554,Nairn East - 01,Highland,715,2,2,4,2,4,5,5,8,3,3,7,19,6,11,8,7,13,6,13,5,7,1,6,6,5,4,10,10,8,6,8,2,8,12,7,5,6,9,7,1,9,9,6,12,13,8,4,18,9,10,16,11,14,14,17,10,12,17,12,12,6,4,12,13,12,5,8,11,7,13,11,18,3,6,8,9,6,8,6,6,6,5,7,8,6,5,4,3,1,0,4
S01010555,Nairn East - 02,Highland,875,12,6,9,5,7,11,10,7,5,7,6,10,4,6,4,9,2,12,15,12,10,7,9,9,6,7,17,23,11,12,9,11,21,8,11,11,28,12,8,11,10,17,4,12,17,14,9,4,19,20,9,16,8,13,12,20,13,8,12,19,11,12,17,10,10,17,17,5,6,6,6,9,16,5,7,6,6,6,2,7,10,2,6,5,1,0,1,5,1,1,6
S01010556,Nairn East - 03,Highland,1001,8,8,10,10,13,12,7,11,15,23,6,14,22,5,16,16,18,10,12,12,13,5,1,20,6,14,17,6,8,7,7,7,2,18,13,8,2,12,8,11,6,6,15,9,15,10,11,5,13,14,21,13,15,15,9,16,19,14,13,12,12,9,11,13,18,11,5,8,6,8,10,12,12,12,8,9,10,7,10,10,9,8,13,12,15,4,6,7,6,5,31
S01010557,Nairn East - 04,Highland,588,6,4,5,9,3,8,4,6,9,7,6,6,4,1,8,3,2,5,2,7,4,10,5,8,12,8,4,5,3,10,10,4,7,8,5,4,10,6,3,6,4,2,2,8,3,11,4,7,7,8,18,10,9,16,7,10,12,12,13,4,3,11,12,4,6,8,4,8,6,8,8,12,9,7,9,1,4,10,7,5,7,6,5,1,2,7,5,0,4,1,4
S01010558,Nairn East - 05,Highland,795,8,4,3,11,8,7,5,3,9,6,4,9,8,7,7,3,9,11,7,16,3,11,10,21,9,4,11,4,6,3,9,4,6,9,3,9,14,4,5,9,9,8,11,4,3,11,7,5,8,17,14,24,16,6,12,13,13,9,15,12,13,13,9,7,14,7,8,14,18,6,5,10,5,10,15,10,20,18,12,12,9,5,7,8,5,1,0,2,4,3,9
S01010559,Nairn West - 01,Highland,865,3,4,1,0,7,3,7,6,7,5,8,5,6,16,9,9,2,6,3,8,1,12,7,1,6,7,2,7,7,4,6,7,5,1,4,8,8,5,3,5,7,10,7,2,5,7,7,16,18,18,8,8,13,12,15,24,5,18,19,23,13,14,13,14,19,15,13,9,11,15,15,16,18,8,11,16,13,11,12,7,7,7,11,7,7,9,10,9,11,10,51
S01010560,Nairn West - 02,Highland,645,4,3,3,4,3,5,11,5,3,2,8,5,2,7,2,8,4,8,6,8,5,5,6,5,16,3,9,3,6,8,0,3,8,6,5,6,9,3,3,7,4,4,4,9,3,4,4,13,17,7,14,14,8,6,6,10,11,16,7,10,9,13,12,13,13,12,9,12,7,15,9,8,10,8,7,5,18,6,11,5,11,11,2,4,4,8,2,4,1,0,8
S01010561,Nairn West - 03,Highland,688,3,5,5,6,6,7,2,5,5,8,4,3,5,8,7,6,6,4,3,6,7,4,6,7,5,5,3,2,5,6,3,4,3,6,6,4,13,9,1,9,4,4,10,6,11,3,6,10,6,5,5,11,14,14,11,9,9,10,9,8,5,7,13,12,15,10,17,12,17,20,12,13,15,15,6,11,9,12,4,3,8,7,3,6,8,6,4,5,5,9,22
S01010562,Nairn West - 04,Highland,712,4,8,8,1,1,11,1,3,3,6,9,7,6,3,8,9,6,11,2,5,4,9,13,5,11,4,10,2,7,5,11,4,9,2,10,4,13,3,6,11,7,10,9,2,13,10,8,12,8,6,6,7,11,9,13,8,8,16,14,16,14,14,18,12,16,12,11,17,12,10,5,10,12,16,9,4,11,8,5,5,11,7,4,1,1,7,4,3,3,1,1
S01010563,Nairn West - 05,Highland,493,5,1,9,4,6,8,8,6,5,10,6,11,6,5,4,5,5,11,5,7,6,8,3,4,3,7,5,4,10,5,9,9,4,8,9,5,0,3,3,5,8,6,6,2,7,7,5,3,5,11,6,5,4,10,0,8,12,6,12,7,2,11,8,3,10,4,6,9,4,7,11,5,3,3,2,3,7,1,2,2,1,3,3,4,3,0,3,1,1,1,3
S01010564,Nairn West - 06,Highland,470,3,1,2,3,1,1,3,5,9,4,8,8,1,4,2,6,4,1,0,3,5,3,1,7,2,5,2,8,0,2,8,5,8,4,5,4,11,9,3,4,6,4,8,3,3,10,4,3,11,7,3,8,5,9,6,13,10,9,6,5,11,6,11,8,10,11,10,4,2,4,10,11,8,5,7,4,5,4,6,3,5,2,2,3,4,1,3,1,4,3,4
S01010565,Nairn West - 07,Highland,558,6,5,7,10,4,5,2,3,5,5,6,3,5,10,4,7,7,6,2,6,1,9,4,5,1,10,12,4,2,8,4,2,5,9,3,7,4,2,7,6,6,8,4,6,6,5,5,7,9,5,12,9,7,6,6,13,9,9,8,6,12,13,4,5,16,7,16,10,5,7,9,4,16,9,5,10,6,3,7,3,2,5,6,1,2,3,3,2,3,0,5
S01010566,Inverness East Rural - 01,Highland,1178,14,10,12,20,15,8,11,19,11,22,17,14,20,15,9,13,13,11,8,10,8,12,13,13,8,9,13,19,6,11,14,13,9,13,17,17,17,18,13,23,18,15,10,9,21,24,12,18,12,28,16,17,23,13,10,28,19,32,20,16,15,18,7,9,10,12,9,14,24,7,12,9,12,6,13,12,7,7,12,7,9,9,5,2,10,2,2,2,2,3,11
S01010567,Inverness East Rural - 02,Highland,1127,8,10,6,12,5,10,11,8,9,13,6,13,12,19,14,13,10,13,16,13,14,13,6,12,5,3,10,10,9,15,15,5,2,5,6,13,12,9,7,11,9,9,7,8,7,15,19,26,16,13,19,22,23,24,16,21,32,27,20,17,18,22,17,13,8,17,23,19,16,14,17,21,17,22,9,14,8,8,6,5,8,5,6,13,4,6,2,8,5,5,18
S01010568,Inverness East Rural - 03,Highland,1361,20,19,19,14,22,20,15,9,14,11,18,12,25,25,23,17,16,12,18,10,9,13,12,9,11,17,16,12,21,22,19,20,20,17,21,19,19,11,20,26,22,9,13,15,20,14,12,16,24,27,28,33,18,21,34,24,24,18,18,15,13,8,14,13,12,15,19,16,7,11,12,11,13,11,17,16,6,7,16,7,2,7,6,4,5,2,3,4,1,1,4
S01010569,Inverness East Rural - 04,Highland,1034,7,11,9,6,12,9,7,8,13,11,9,10,9,6,7,8,7,11,28,16,18,31,27,10,15,22,19,20,27,29,13,23,9,13,16,0,12,10,13,10,17,20,10,2,10,7,12,9,10,7,11,11,19,11,23,17,19,22,18,12,19,19,11,14,16,9,12,10,5,5,15,13,9,7,4,5,6,2,7,8,2,6,2,4,2,0,1,1,3,3,6
S01010570,Inverness East Rural - 05,Highland,1030,6,6,11,13,9,14,10,20,13,13,14,7,11,14,11,11,13,12,22,7,8,16,9,14,11,8,9,9,16,9,9,20,10,8,13,7,10,8,8,7,11,11,14,12,0,16,15,15,15,15,17,17,28,10,13,31,12,12,20,12,17,17,21,14,14,8,16,17,10,11,16,12,10,7,10,10,4,8,7,5,5,7,7,6,5,6,5,3,4,1,5
S01010571,Inverness Culloden and Balloch - 01,Highland,693,7,3,7,3,1,3,11,8,15,4,4,7,6,7,6,2,8,4,7,5,10,3,6,5,12,4,7,9,3,12,8,4,8,13,13,11,3,14,10,8,13,11,6,4,5,9,14,13,15,6,13,13,7,5,13,20,13,7,11,15,5,7,10,7,9,8,15,11,4,12,11,10,15,13,4,5,7,6,8,4,5,3,4,3,4,1,1,3,1,0,3
S01010572,Inverness Culloden and Balloch - 02,Highland,696,6,9,5,4,7,12,7,3,12,8,10,8,17,6,8,13,8,12,11,4,5,12,7,16,3,12,13,7,22,11,2,7,12,9,30,11,13,12,8,9,12,7,12,11,5,13,6,7,5,9,6,15,4,10,9,8,6,4,6,11,4,11,7,3,7,5,6,6,6,9,4,4,6,9,11,6,3,8,3,3,1,2,0,4,1,1,1,2,1,1,4
S01010573,Inverness Culloden and Balloch - 03,Highland,495,4,7,7,6,6,8,4,4,9,8,10,12,7,0,4,6,3,4,6,4,3,13,5,6,4,6,2,5,3,5,9,4,10,4,8,9,5,6,9,7,10,7,9,8,6,4,3,6,3,9,10,9,13,9,7,9,5,4,8,8,4,5,4,5,9,3,3,6,9,4,3,5,7,3,2,2,10,1,4,5,2,0,3,1,0,2,0,0,2,1,1
S01010574,Inverness Culloden and Balloch - 04,Highland,569,5,4,9,1,0,10,7,3,7,6,8,12,14,10,4,5,9,5,5,3,3,9,5,8,2,11,6,6,3,1,4,4,2,5,3,13,4,7,5,6,10,7,1,6,7,12,9,0,8,7,5,8,10,7,12,4,9,10,11,20,10,12,12,14,8,13,4,8,5,7,9,10,5,2,4,3,1,3,5,6,1,2,0,7,4,4,2,2,2,0,7
S01010575,Inverness Culloden and Balloch - 05,Highland,675,4,4,7,4,6,6,4,3,2,10,4,7,11,6,7,11,10,6,9,3,11,1,9,6,6,7,14,2,3,6,4,3,6,9,4,3,1,7,6,12,4,7,9,4,6,5,6,6,6,10,5,2,10,6,10,11,16,12,17,22,20,8,12,9,15,7,11,15,10,6,9,17,10,10,8,12,5,8,5,11,7,4,5,2,5,7,4,5,2,1,7
S01010576,Inverness Culloden and Balloch - 06,Highland,803,4,6,8,8,3,11,9,6,5,13,14,17,5,11,4,10,5,5,4,15,7,4,6,6,7,5,5,0,7,5,10,6,5,2,7,6,4,9,8,8,16,4,13,5,9,7,8,0,11,15,16,9,9,18,14,18,16,10,14,5,18,11,14,17,13,16,16,11,11,10,12,16,13,27,8,6,13,5,6,10,6,7,10,6,5,1,5,1,1,2,9
S01010577,Inverness Smithton - 01,Highland,835,10,8,9,11,16,8,14,10,10,20,7,13,25,15,10,13,19,9,16,10,5,9,15,11,8,16,11,10,10,6,11,11,10,8,24,8,13,9,8,9,17,5,11,11,7,15,8,5,7,6,13,6,11,8,9,1,21,11,10,10,12,9,7,12,15,13,10,11,3,6,6,12,7,9,6,6,4,1,5,0,5,3,3,3,1,0,2,1,0,3,3
S01010578,Inverness Smithton - 02,Highland,523,2,2,3,2,8,6,5,12,9,4,3,2,4,5,2,8,5,6,2,5,5,2,8,10,6,6,8,9,9,13,0,9,1,8,2,5,5,6,8,3,7,3,8,6,9,6,15,3,7,8,9,5,15,14,12,12,11,8,12,9,8,9,5,7,15,6,7,6,6,3,2,6,2,4,5,1,1,6,0,5,2,0,0,1,5,4,2,3,1,1,3
S01010579,Inverness Smithton - 03,Highland,633,5,2,5,6,3,1,5,9,5,3,7,15,4,10,8,3,4,3,8,6,0,4,4,6,7,1,2,7,4,1,1,5,15,7,1,11,14,10,6,10,8,7,11,8,3,3,6,6,13,4,5,7,14,4,14,17,14,8,13,16,10,6,5,8,14,9,5,13,14,6,17,13,10,10,4,6,1,16,1,4,10,8,7,3,7,6,2,2,1,4,2
S01010580,Inverness Smithton - 04,Highland,499,6,6,1,5,1,4,6,4,4,4,3,3,2,5,2,4,3,4,3,1,7,9,5,4,11,13,11,12,11,14,16,11,2,4,4,3,13,16,6,4,10,7,10,9,4,8,8,0,4,6,3,7,7,15,6,6,11,3,5,7,7,14,7,6,7,4,1,2,3,5,4,7,3,1,4,2,7,3,5,6,4,0,4,1,2,1,1,0,3,1,1
S01010581,Inverness Smithton - 05,Highland,509,6,5,1,3,6,7,4,6,8,9,3,12,2,2,10,4,2,3,11,8,2,6,6,3,9,2,11,6,7,9,8,13,9,12,12,6,18,4,4,5,16,4,12,8,7,6,8,5,9,8,8,6,6,3,6,8,8,5,1,8,11,6,3,9,5,4,8,5,6,4,3,4,2,4,0,0,1,3,1,1,1,1,2,1,1,1,3,1,1,2,9
S01010582,Inverness Westhill - 01,Highland,862,13,21,5,15,14,12,8,9,15,7,3,5,10,11,10,9,12,8,14,16,15,18,17,9,6,18,17,9,13,8,14,9,14,10,5,9,10,7,13,9,11,11,10,6,9,16,8,10,8,2,7,10,6,4,15,9,15,14,9,10,10,8,6,3,9,6,9,6,6,12,9,11,8,4,6,7,3,9,4,3,3,8,3,5,9,7,11,5,9,5,21
S01010583,Inverness Westhill - 02,Highland,899,5,2,5,5,7,6,9,5,8,5,11,14,10,10,7,11,7,6,10,9,8,15,9,8,10,20,13,5,5,7,8,7,5,5,7,9,9,7,12,8,3,2,12,11,7,18,10,13,14,17,16,20,15,21,22,21,24,24,9,8,13,15,17,9,13,8,13,8,11,13,11,9,20,14,8,11,2,7,8,17,9,9,8,5,3,4,6,1,1,4,6
S01010584,Inverness Westhill - 03,Highland,1023,15,19,14,11,18,17,21,16,14,24,11,20,15,20,20,6,8,11,14,12,14,9,6,6,9,10,14,14,5,13,21,14,17,9,7,26,14,18,25,18,16,13,20,20,10,20,12,25,22,12,20,18,15,12,15,23,22,8,11,11,5,9,0,10,7,6,4,7,11,2,4,6,12,5,4,3,2,4,0,7,3,3,1,0,1,1,1,2,1,1,1
S01010585,Inverness Westhill - 04,Highland,877,10,12,14,14,19,14,17,21,17,19,17,7,12,15,10,20,10,14,7,7,12,11,8,10,8,7,6,9,8,8,18,18,18,13,23,14,13,17,10,30,14,21,11,15,15,28,24,16,9,20,13,5,21,13,11,13,5,6,12,7,4,5,0,6,3,4,3,2,6,1,1,0,0,4,4,1,1,2,4,2,2,0,2,1,0,2,1,0,0,0,0
S01010586,Inverness Westhill - 05,Highland,783,7,0,6,7,8,14,8,10,9,13,7,10,5,8,9,5,12,9,6,5,6,15,8,6,16,0,8,1,2,5,4,6,5,8,8,8,14,8,6,13,14,7,13,9,12,5,12,8,18,12,8,10,17,12,18,17,11,10,13,22,8,10,12,20,13,13,8,4,7,9,5,12,8,14,10,8,12,8,5,5,0,10,7,3,6,5,0,3,5,0,0
S01010587,Inverness Westhill - 06,Highland,621,2,2,1,3,6,11,5,11,5,8,7,9,4,9,2,6,4,1,4,7,8,0,5,4,7,4,8,6,5,3,6,2,1,9,5,7,3,6,4,8,11,9,11,5,4,10,7,9,11,9,13,14,12,9,13,11,7,12,3,8,9,8,6,9,11,10,8,11,11,9,3,15,16,11,11,7,7,10,5,3,2,9,4,1,2,1,8,4,5,0,9
S01010588,Inverness Westhill - 07,Highland,657,4,7,4,9,7,9,3,6,5,7,4,7,6,8,6,10,9,16,8,8,8,13,6,16,6,3,5,9,4,1,3,6,7,7,5,4,7,2,8,4,10,12,6,9,10,13,8,13,15,12,7,10,15,17,7,12,19,7,8,13,7,8,8,5,5,6,12,8,4,8,10,7,5,17,7,4,2,4,2,4,3,4,2,2,4,9,2,0,0,1,7
S01010589,Inverness Westhill - 08,Highland,562,6,1,4,3,3,2,0,4,3,5,9,3,9,4,5,4,6,4,8,14,4,3,9,7,8,13,17,13,10,0,10,3,9,9,6,4,7,6,9,5,8,8,1,8,9,10,5,5,4,11,11,6,10,23,4,9,7,13,12,11,15,10,5,11,8,10,2,6,3,13,10,3,4,1,2,0,3,5,4,2,4,2,5,5,1,2,1,0,0,0,1
